series,season,number,title,director,writer,air_date,description
Bewitched,7,22,Darrin Goes Ape,Richard Michaels,Leo Townsend & Pauline Townsend,1971-03-11,"Darrin rejects an enchanted gift from Serena. When Samantha goes out shopping, Serena changes Darrin into a gorilla. Gladys Kravitz sees the gorilla and calls the police (Paul Smith). They send him off to be a mate for another gorilla at the Johnson's Jungle Isle. Samantha finds out and not only has to get Darrin out of his cage, but must get Serena to change him back. Allen Jenkins appears as Alex Johnson. Milton Selzer appears as Pete Johnson. Herb Vigran appears as the police Sergeant. Ysabel MacCloskey appears as Aunt Hagatha.

Note: Last episode featuring Abner Kravitz; filmed December 3, 1970."
Bewitched,7,23,Money Happy Returns,Richard Michaels,Milt Rosen,1971-03-18,"Endora accuses Darrin of being cheap. Darrin finds $100,000 in a cab and thinks Endora zapped it there so his children can have the large swimming pool he cannot afford. He even accuses Samantha of covering up for her mother. An angry Sam zaps the money away and then leaves. But, the cash really belongs to some criminals who want it back. Darrin needs to get Samantha back to help him out of his problem. Arch Johnson and Gordon Jump guest-star.

Note: Filmed February 1, 1971."
Bewitched,7,24,Out of the Mouths of Babes,Richard Michaels,Michael Morris,1971-03-25,"Endora changes Darrin into a little boy nicknamed ""Marvin Peter"" (Gene Andrusco) while he is trying to win an account for client Sean Flanagan (David Huddleston) and his Mother Flanagan's Irish stew. Darrin meets another boy named Herbie (Eric Scott) in a basketball game who tries the Irish stew and reveals the truth: it tastes terrible. Is there another way to get the account yet stay true to the fact of Mother Flanagan's being the awful Irish stew it is?

Note: Filmed February 5, 1971."
Bewitched,7,25,Samantha's Psychic Pslip,William Asher,John L. Greene,1971-04-01,"Samantha feels guilty about using her witchcraft. Samantha's hiccups are causing bikes of all kinds to appear, just when Darrin's Mother is about to arrive for a visit and to invite Samantha out for a shopping trip. Dr. Bombay's spell, designed to remove ""guilt"", stops the bikes from appearing but now Samantha's hiccups cause any ""gilded"" object nearby to disappear. Serena also stops by to add to the mayhem. Further complications arise when a Samantha hiccup results in a gilded necklace in a store display going missing. Samantha and Mrs. Stephens are then questioned by the department store detective for shoplifting.

Notes: Filmed November 19, 1970. In closing credits, Irene Byatt is identified as 'Woman with Mirror' when actually she played 'Woman with Lamp'. Irwin Charone appears as the department store detective."
Bewitched,7,26,Samantha's Magic Mirror,Richard Michaels,Ed Jurist,1971-04-08,"Esmeralda needs confidence for an upcoming meeting with old boyfriend Ferdy (Tom Bosley). Samantha creates a magic mirror to make Esmeralda appear more attractive to herself but she needs even more assistance to boost her failed powers. Esmeralda and Ferdy's date is scheduled to be at Samantha and Darrin's house. Samantha sticks around behind the scenes to assist with Esmeralda's faulty witchcraft. Turns out Sam didn't really have to worry as Ferdy admits his powers are failing as well. Nancy Priddy appears as Esmeralda's Mirror Image.

Note: remake of Season 2's ""Aunt Clara's Old Flame""; filmed January 21, 1971."
Bewitched,7,27,"Laugh Clown, Laugh",William Asher,Ed Jurist,1971-04-15,"Claiming Darrin has no sense of humor, Endora puts a spell on him, turning him into an obnoxious comedian. She later creates another spell, causing him to laugh about anything grave and serious, neither of which pleases uptight client Harold Jameson (Charles Lane). Darrin's inappropriate jokes and laughing are sure to lose the account – or will they? Ysabel MacCloskey appears as Martha Jameson. Marcia Wallace appears as Betty, Darrin's secretary.

Note: Last episode to feature Gladys Kravitz; filmed February 11, 1971."
Bewitched,7,28,Samantha and the Antique Doll,Richard Michaels,Ed Jurist,1971-04-22,"Tabitha causes an antique doll to fly across the room, right in front of Darrin's mother, Phyllis. Samantha convinces Phyllis that she subconsciously willed it from Adam, but Phyllis becomes obsessed with her apparent new abilities. A fake séance cures her of this idea.

Note: Filmed December 10, 1970; remake of Season one's ""Abner Kadabra""; last episode featuring Darrin's parents. Robert F. Simon, who portrayed Frank Stephens in Seasons 1–3, reprises his role."
Bewitched,8,1,How Not to Lose Your Head to King Henry VIII (Part 1),William Asher,Ed Jurist,1971-09-15,"On a tour of the Tower of London, Samantha frees a trapped nobleman from a painting. Malvina (Arlene Martel), the hateful witch who trapped him, sends her back in time to the court of King Henry VIII (Ronald Long). While Henry wants to make Sam his next queen, Darren must travel to the sixteenth century and rescue her. Ivor Barry appears as Lord Chamberlain. Laurie Main appears as the Tour Guide.

Note: Beginning with this episode, Bewitched was moved from Thursday night to Wednesday, opposite CBS's The Carol Burnett Show. This episode, along with Part 2, was filmed on June 29, 1971."
Bewitched,8,2,How Not to Lose Your Head to King Henry VIII (Part 2),William Asher,Ed Jurist,1971-09-22,"Endora sends Darrin back to 16th-century England to rescue Samantha before King Henry VIII (Ronald Long) adds her to his gallery of beheaded wives. Darrin is afraid to admit that he requires Endora's assistance in the matter. As such, Darrin and Endora will only have their cunning as their tools. Endora has a plan with which Darrin may not totally agree with as his life will be in the balance. Darrin competes in a wrestling match with Henry the VIII. John Mitchum appears as a jailor."
Bewitched,8,3,Samantha and the Loch Ness Monster,William Asher,Michael Morris,1971-09-29,"While visiting the town of Inverness, Scotland, Darrin and Samantha meet the Loch Ness Monster, who Samantha reveals is actually a warlock named Bruce (Steve Franken) who was transformed into the monster by Serena 40 years earlier. When Darrin's cousin Robbie (Don Knight) spots the creature in the lake, he decides to call in a specialist, the Baron von Fuchs (Bernie Kopell), to take photographs. In reality, the Baron wants to capture the monster for the $3 million insurance on its head. To save Bruce from the Baron, Samantha has to convince Serena to change Bruce back into a warlock. After Sam gets Serena to turn him back, he turns Serena into a mermaid. Samantha has to try to get Bruce to remove the spell.

Note: Filmed July 22, 1971"
Bewitched,8,4,Samantha's Not So Leaning Tower of Pisa,William Asher,Ed Jurist,1971-10-06,"Samantha and Darrin are in Pisa, Italy. Esmeralda reveals she had caused the Tower of Pisa to lean in the 12th century, and has always been upset about her mistake. She makes it stand upright, setting off mass hysteria. Is there a way to leave the tower in its leaning position and let Esmeralda regain her self respect from what she considers this biggest blight of her past?

Note: Filmed July 2, 1971"
Bewitched,8,5,"Bewitched, Bothered and Baldoni",William Asher,Michael Morris,1971-10-13,"While in Rome, Endora makes trouble for Darrin by bringing a statue of Venus de Milo (Francine York) to life. She takes the name Vanessa. Darrin brings her back to the villa wanting to have her work as their maid. Samantha has to figure out exactly who Vanessa is. Every male who sees Vanessa becomes enchanted by her appearance. Sam must find a way to combat Vanessa's charms. Samantha's strongest weapon may be Vanessa's own counterpart named Alberto.

Note: Filmed July 12, 1971."
Bewitched,8,6,"Paris, Witches' Style",William Asher,Michael Morris,1971-10-20,"Maurice becomes enraged when he learns that Darrin and Samantha have failed to pay him a visit while on their tour of Europe. Darrin is at a business meeting so Endora zaps up a fake Darrin to appease an irate Maurice. This Darrin is kinder and more accommodating to whatever Maurice wants. The real Darrin shows up and when Maurice realizes what happened, he zaps Darrin onto the top of the Eiffel Tower. And after casting another spell on Darrin, Samantha gets Maurice to apologize to Darrin. Maurice even helps Darrin win an account he was after.

Note: A partial remake of Season one's ""Just One Happy Family"". Filmed July 29, 1971."
Bewitched,8,7,The Ghost Who Made a Spectre of Himself,William Asher,Ed Jurist,1971-10-27,"Samantha, Darrin, Larry and Louise accept an invitation by the Duke of Winsett (Maurice Dallimore) to stay at his old English castle for the weekend. A lovesick ghost named Harry (Patrick Horgan) longing to be near Samantha takes up residence in Darrin's body and refuses to leave. Sam won't have anything to do with Darrin while Harry has taken over his body. Further complications ensue when Larry and Louise get involved as they try to save what looks to them to be their friends' crumbling marriage. Harry, as Darrin, then makes a pass at Louise. Samantha conjures up the ghost of Lady Windermere (Elizabeth Rogers) to lure Harry away. Now Sam has to make things right with Louise.

Note: Filmed July 16, 1971"
Bewitched,8,8,TV or Not TV,William Asher,Bernie Kahn,1971-11-03,"Tabitha becomes an overnight sensation when she magically appears on The Punch and Judy Show, sponsored by Darrin's client Lester Silverton (John Gallaudet). Although the Stephenses try to hide Tabitha's true identity, Silverton learns she is their daughter, and wants her to be a permanent fixture on Punch and Judy. Samantha uses a little magic to get him to want to use his daughter Robin (Kathy Hilton) instead. Robert Q. Lewis guests as the director. Wanda Hendrix guests as Mrs. Helen Silverton.

Note: Filmed June 17, 1971; first episode filmed for Season 8."
Bewitched,8,9,A Plague on Maurice and Samantha,Richard Michaels,Ed Jurist,1971-11-10,"Samantha has lost her powers. Dr. Bombay assumes that her loss of powers is due to her constant contact with mortals. Maurice makes a surprise visit. Dr. Bombay returns to inform them that he misdiagnosed the situation, and that Samantha truly has a contagious bug that can be passed from witch to warlock. Maurice now has to sample mortal life after he temporarily loses his powers from the virus. Maurice actually helps Darrin win the Benson (J. Edward McKinley) Chili account. Bernie Kopell appears as the Apothecary.

Note: Filmed August 12, 1971."
Bewitched,8,10,Hansel and Gretel in Samanthaland,Richard Michaels,Michael Morris,1971-11-17,"Tabitha pops Hansel & Gretel out of a book to give them something to eat, and then zaps herself into the story. Samantha goes into the storybook to rescue Tabitha from the wicked witch (Billie Hayes) while Darrin tries to explain the hungry siblings' presence to Larry and Louise. Bobo Lewis appears as Brunhilda, Hansel & Gretel's Stepmother. Richard X. Slattery appears as a Policeman.

Note: Filmed September 2, 1971."
Bewitched,8,11,The Warlock in the Gray Flannel Suit,Richard Michaels,John L. Greene,1971-12-01,"Endora enlists the help of a hippie warlock named Alonzo (Bernie Kopell) to do away with Darrin's job so that he is free to attend a wedding with Samantha. Her Cousin Panda's wedding in Hong Kong. Alonzo puts a spell on Larry to love all his ""far out"" campaign ideas. This could create trouble with Darrin's client, Mr. Cushman (Charles Lane). Unable to locate her mother, Samantha believes the only way to save the account is to use a little witchcraft of her own to neutralize Alonzo's.

Note: partial remake of Season One’s ""Your Witch Is Showing""; Filmed August 19, 1971."
Bewitched,8,12,The Eight-Year Itch Witch,Richard Michaels,Ruth Brooks Flippen,1971-12-08,"Endora transforms a Siamese cat into a statuesque model named Ophelia (Julie Newmar) for sponsor Mr. Burkeholder's (Parley Baer) Tom Cat Tractor ad campaign. Endora does this in an effort to test Darrin's loyalty to Samantha. Darrin agrees to go with Ophelia on a business trip to Albany for Tom Cat. This is despite he was supposed to celebrate his and Samantha's anniversary of their first date. Ophelia does whatever she can to seduce Darrin on the trip. Samantha eventually learns what is happening and in turn, takes an unusual measure to show how much faith she has in Darrin and their strength of their marriage.

Note: Remake of Season one's ""It Takes One To Know One"" combined with elements of the same season's ""Ling Ling"". Filmed August 26, 1971."
Bewitched,8,13,Three Men and a Witch on a Horse,Richard Michaels,Ed Jurist,1971-12-15,"Endora casts a spell on a hobby horse that makes it predict the results of horse races, and also zaps Darrin with a gambling bug, hoping to make him a better provider to his family. Samantha finds out what her mother has done and tries to get her to remove the spell. Instead, Endora makes sure his horse will lose the race. Darrin convinces Larry and Mr. Spengler (John Fiedler), one of their spendthrift clients, that these bets as sure things. Sam convinces the horse to win. Scatman Crothers appears as a Horse Handler.

Note: Filmed September 16, 1971"
Bewitched,8,14,"Adam, Warlock or Washout?",William Asher,Ed Jurist,1971-12-29,"Samantha's aunts, Grimalda (Maryesther Denver) and Enchantra (Diana Chesney) come to test Adam, and (again) threaten to dissolve Samantha's marriage if Adam has no powers. Maurice (Maurice Evans) transfers some of his extra special powers to Adam in preparation for the Test Committee visit. Adam demonstrating those powers in front of the Committee has unintended consequences, but left to his own devices and a little motherly guidance, he may be able to show what he can when it really counts.

Note: Remake of Season three's ""Witches and Warlocks Are My Favorite Things""; last episode to feature Maurice; filmed August 5, 1971; last episode broadcast by ABC in prime time when rerun on July 1, 1972."
Bewitched,8,15,Samantha's Magic Sitter,Richard Michaels,Henry Sharp & Phil Sharp,1972-01-05,"While babysitting the son of client Elliott Norton (Richard X. Slattery), Esmeralda performs magic and tells the boy she is a witch. Esmeralda's faulty witchcraft may threaten the account, especially as overbearing Mrs. Norton believes Ralph is an angel, which is the farthest thing from the truth. With the account on the line, Samantha believes if Esmeralda's faulty witchcraft got Darrin into this trouble, Esmeralda's faulty witchcraft may be the answer to appease Mr. and Mrs. Norton.

Note: partial remake of Season One’s ""There's No Witch Like An Old Witch""; filmed September 23, 1971"
Bewitched,8,16,Samantha Is Earthbound,Richard Michaels,Michael Morris,1972-01-15,"Samantha develops a condition, gravititis inflamitis, that makes her weigh over 500 pounds. Dr. Bombay gives her an antidote which makes her lighter than air, just when she must attend a charity event as an attendant and fashion model. Darrin goes with Samantha to be her anchor, when she can't find anything else to weigh her down. What is seen by the Prescotts as Samantha and Darrin's bizarre behavior at the event has the potential to kibosh Darrin's account with Mr. Prescott. Samantha has to find a way to explain their unusual behavior in order to save the account. Jack Collins and Sara Seegar appear as Mr. and Mrs. Prescott. Molly Dodd appears as Mrs. Brock.

Note: Beginning with this episode, Bewitched was moved from Wednesdays to Saturdays,[8]: 95  opposite All in the Family; filmed October 14, 1971."
Bewitched,8,17,Serena's Richcraft,William Asher,Michael Morris,1972-01-22,"Serena's powers are taken away by the jealous Contessa Pirhana (Ellen Weston). The grounded Serena amuses herself by dating a wealthy client of Darrin, Harrison Woolcott (Peter Lawford) and they become smitten with each other. With a little help from Samantha, Darrin tries to break up Serena and Woolcott without jeopardizing the account. Meanwhile, Samantha focuses her attention on Pirhana and getting her to restore Serena's powers.

Note: filmed on January 15, 1971; partial remake of Season Six’s ""A Chance on Love""; filmed during Season Seven but shelved until Season Eight."
Bewitched,8,18,Samantha on Thin Ice,William Asher,Richard Baer,1972-01-29,"Disappointed with her granddaughter's inability to ice skate, Endora casts a spell on Tabitha, making her an ice skating sensation. She skates so well, her instructor (Robert Paul) informs former skater and now coach Billy ""Blades"" Bucholtzer (Alan Oppenheimer). Blades believes that Tabitha could be the next Olympic champion, and wants her to audition for him. Samantha and Darrin have to convince Endora to take the spell off of Tabitha before the audition.
Note: remake of Season Five's ""Samantha on the Keyboard"".

Ed Filmed September 30, 1971"
Bewitched,8,19,Serena's Youth Pill,E. W. Swackhamer,Michael Morris,1972-02-05,"Serena gives Larry Tate a dose of Vitamin V hoping to turn back the clock by several years. Larry wants to market the pill to make millions. However, the pill has an unexpected side effect on Larry and takes him all the way back to his childhood.

Note: Last episode to feature Serena and Louise Tate; filmed October 7, 1971"
Bewitched,8,20,Tabitha's First Day in School,Richard Michaels,Ed Jurist,1972-02-12,"Samantha is required to enroll Tabitha in school, where she meets a bully named Charlton Rollnick, Jr. (Michael Hughes) and zaps him into a bullfrog, scaring her teacher, Mrs. Peabody (Maudie Prickett). After Tabitha changes him back, his mother, Mrs. Rollnick (Nita Talbot) goes to the Stephenses' house to pick him up, but acts like a bully herself.

Note: Filmed November 11, 1971; remake of Season Five’s ""I Don't Want to be a Toad, I Want to be a Butterfly"" (which also featured Maudie Prickett), with elements of Season Four's ""Playmates."""
Bewitched,8,21,George Washington Zapped Here (Part 1),Richard Michaels,Michaels Morris,1972-02-19,"Esmeralda accidentally brings George Washington (Will Geer) into the 20th century, but the president and his wife Martha (Jane Connell) find it difficult to adjust to modern times. Because of her faulty witchcraft, Esmeralda can't remember the spell to get him back. While Esmeralda tries to remember the spell, Samantha and Darrin have to make sure no one sees him. When he wanders from the Stephenses' home, he is arrested by a police sergeant (Herb Vigran) for public speaking without a permit.

Note: Filmed December 3, 1971. This episode and ""George Washington Zapped Here (Part 2)"" are remakes of the two-part Season Three episodes ""My Friend Ben"" and ""Samantha for the Defense""."
Bewitched,8,22,George Washington Zapped Here (Part 2),Richard Michaels,Michael Morris,1972-02-26,"While George Washington (Will Geer) awaits his court appearance before Judge Armstrong (Herb Voland), Larry wants to use the president in ads for Mr. Jamieson's (Jack Collins) Whirlwind Washing Machines. Everyone involved may get an unintended civics lesson on what Washington envisioned for America.

Note: Last episode to feature Esmeralda; filmed December 8, 1971."
Bewitched,8,23,"School Days, School Daze",Richard Michaels,Michael Morris,1972-03-04,"Tabitha is worried about being smart enough to skip to the second grade. Endora makes it so that she exceeds the expectation of her teacher, Mrs. Peabody (Maudie Prickett). Mrs. Peabody now believes Tabitha is not only smart enough to skip that grade, but is a genius about whom the whole world should know. Even after Endora removes the spell, Samantha faces a bigger problem with Mrs. Peabody, who will not take no for an answer. Charles Lane appears as Mr. Roland, the principal.

Note: Filmed November 4, 1971; last episode to feature Adam."
Bewitched,8,24,A Good Turn Never Goes Unpunished,Ernest Losso,Bernie Kahn,1972-03-11,"Darrin and Samantha have yet another fight over her alleged use of witchcraft to help him with an advertising slogan for Mr. Benson's (J. Edward McKinley) mattress account. Samantha doesn't mind that he wouldn't want to use her ideas if he thought they weren't any good, but she is upset that he doesn't believe her that she came up with them all her own. Larry sees the ideas and shows them to Benson, who doesn't like them. Darrin realizes that there was no witchcraft involved.

Note: Remake of Season Five’s ""Is It Magic or Imagination?"", which itself was a remake of Season One’s ""Help, Help, Don't Save Me"". Filmed November 19, 1971. Last episode to feature Tabitha."
Bewitched,8,25,Samantha's Witchcraft Blows a Fuse,Richard Michaels,Leo Townsend,1972-03-18,"After consuming an exotic drink at Mr. Fong's (Benson Fong) Chinese restaurant, Samantha feels ill. After her dizziness subsides, red stripes appear on her face. Aunt Hagatha (Reta Shaw) calls Dr. Bombay to cure Samantha. He prescribes a potion from the witches' apothecary (Bernie Kopell), but forgets to mention two hard-to-acquire ingredients. Richard X. Slattery and Paul Smith appears as policemen. Herb Vigran appears as a Police Sergeant. Janos Prohaska appears as the Do-Do Bird.

Note: Filmed on November 26, 1971. Last episode to feature Dr. Bombay, the Apothecary and Aunt Hagatha; remake of Season Two’s ""Take Two Aspirin and Half a Pint of Porpoise Milk."""
Bewitched,8,26,"The Truth, Nothing but the Truth, So Help Me Sam",William Asher,Ed Jurist,1972-03-25,"A dinner party for prospective clients Cora Mae (Sara Seegar) and Walter Franklin (Parley Baer) ends in disaster after Endora casts a spell on Samantha's unicorn pin that causes every mortal that comes near it to tell the absolute truth. How will the truth coming out sit with overbearing Cora Mae, the company owner, and her henpecked husband?

Note: Filmed December 16, 1971; last episode to be filmed and broadcast; remake of Season Two’s ""Speak the Truth""."
I Dream of Jeannie,1,1,The Lady in the Bottle,Gene Nelson,Sidney Sheldon,1965-09-18,"After orbiting the Earth in Stardust One, Air Force captain and astronaut Tony Nelson crash lands on a remote island in the South Pacific. As he's building an ""SOS"" message in the sand, a mysterious bottle keeps placing itself in the stranded astronaut's path. Curious, Captain Nelson opens the bottle and burnishes the outside whereupon a thick column of smoke streams out. A beautiful genie appears who pledges her service to him, helps him get rescued and then follows him back to Cocoa Beach, Florida. 
Philip Ober appears as General Wingard Stone, the father of Tony's fiancée Melissa (Karen Sharpe). Richard Reeves as 1st Garbage Man. Joe Higgins as 2nd Garbage Man. Don Dubbins as Lt. Pete Conway, USNR.

Filming date: December 2–4, 1964[1]"
I Dream of Jeannie,1,2,My Hero?,Gene Nelson,Sidney Sheldon,1965-09-25,"Jeannie whisks Captain Nelson off to ancient Persia in order to have him avenge her honor against the immense Ali, Killer of Giants (Richard Kiel). When Captain Nelson sticks up for her, Jeannie interprets it as a marriage proposal and blinks off to inform her parents that she's engaged to Captain Nelson (leaving him in Ali's clutches) and intends to marry him—assuming he survives Ali.

Guest stars: Henry Corden as Jeannie's Father. Florence Sundstrom appears as Jeannie's Mother. Peter Brocco as Turhan. Magda Harout as Woman."
I Dream of Jeannie,1,3,Guess What Happened on the Way to the Moon?,Alan Rafkin,"Tom Waldman, Frank Waldman",1965-10-02,"Desert survival takes a luxurious turn when Jeannie follows Tony (Captain Nelson) and Captain Roger Healey (Tony's friend and NASA partner) on a desert survival mission, and supplies Tony with food, shelter and transportation, which he must hide from Roger. After Tony injures his ankle, he stays behind as Roger goes on. After the mission, Roger questions Tony's easy time while he himself languished in the desert heat. 

Byron Morrow appears as General Moore."
I Dream of Jeannie,1,4,Jeannie and the Marriage Caper,Alan Rafkin,"Tom Waldman, Frank Waldman",1965-10-09,"When Tony's prospective father-in-law accepts an ambassadorship, he offers Tony a prestigious position, but Tony is set on staying an astronaut and turns down the offer. His fiancée, Melissa, urges him to accept the position and move up their wedding date. When Melissa's old friend Grover Caldwell (John Hudson) enters the picture, she transfers her interest to him, believing that Tony lacks ambition and has changed from the man she knew. But Tony's had second thoughts too and hides his relief when Melissa tells him of her plan to marry Grover.

Guest Star: Mako as Kato"
I Dream of Jeannie,1,5,G.I. Jeannie,Alan Rafkin,William Davenport,1965-10-16,"Jeannie misses Tony because he's working long hours, so she proposes that she become his secretary. Tony, seeing an opportunity to get Jeannie out of his hair for a while, tells her that she would be required to join the Air Force first. So Jeannie agrees to go through WAF training, after which Major Margaret Fiefield (Jane Dulo) tries her in various departments but she's disastrous at each. 

Edmon Ryan appears as Col. Joe Fenton. Eileen O'Neill appears as Corp. Lola Burns. Robert DoQui appears as Sgt. Pete Morgan."
I Dream of Jeannie,1,6,The Yacht Murder Case,Gene Nelson,"David Braverman, Bob Marcus",1965-10-23,"Jeannie follows Tony on a yacht trip with P.J. Ferguson (David Brian), an aerospace executive, and his daughter Nina (Sharon Farrell) after Nina, who has designs on Tony, presses her father to hire him away from NASA. When Tony orders Jeannie to go home and she obeys with a magic blink, the Fergusons, who'd already caught a glimpse of them talking, conclude from her sudden disappearance that Tony has murdered her. 

C. Lindsay Workman appears as General William Fletcher. Sandra Gould appears as Mrs. Flaherty, Tony's housekeeper. Richard Webb appears as Colonel Brady. Victoria Carroll appears as Young Woman."
I Dream of Jeannie,1,7,Anybody Here Seen Jeannie?,Gene Nelson,Arnold Horwitt,1965-10-30,"Tony is scheduled to be the first American to walk in space, but Dr. Bellows, the base psychiatrist and Tony's superior officer, orders him to undergo some medical tests first. Jeannie thinks the mission is too dangerous so tries to get Tony grounded by sabotaging the tests from her hiding place in his jacket pocket. Tony gets angry when he realizes what's happened so Jeannie undoes her work by getting Dr. Bellows to think he's temporarily lost his marbles and can't trust his own findings. 

Dabney Coleman guest stars as Lt. George Conway (identified as ""Lt. George Webb"" in the closing credits). Davis Roberts appears as Walter, an assistant to Dr. Bellows."
I Dream of Jeannie,1,8,The Americanization of Jeannie,Gene Nelson,Arnold Horwitt,1965-11-06,"Jeannie becomes enthralled by a magazine article that explains how to be a modern, emancipated American woman. She hopes to impress Tony by following the lessons in the article, but trying to mold her magic and personality into a figure of modern womanhood produces mixed results. 

Steven Geray appears as Armand. Del Moore appears as Sam. Mittie Lawrence appears as Woman Shopper #3."
I Dream of Jeannie,1,9,The Moving Finger,Gene Nelson,"Harry Essex, Jerry Seelen",1965-11-13,"Tony is ordered to Hollywood to act as technical director for a film about astronauts. The film is to star the famous screen actress, Rita Mitchell (Nancy Kovack), of whom Jeannie quickly becomes jealous when she observes the actress's attentions to Tony. Jeannie fashions herself as a movie star to compete with the Hollywood star, but sadly soon discovers that genies do not show up on film. 

David McLean appears as Jason Huberts. Woodrow Parfrey appears as Henry Tracy. Stephen Whittaker appears as Bellboy. Joe Brooks appears as Crane Driver."
I Dream of Jeannie,1,10,Djinn and Water,Gene Nelson,"Mary C. McCall, Jr.",1965-11-20,"Jeannie blinks one of her great grandfathers, Bilejik (J. Carrol Naish), to Cocoa Beach to help Tony with his pet project of turning sea water into fresh water. Bilejik has a secret method, but will only share it if Tony produces an extravagant gift in return—like the Statue of Liberty—so Jeannie intervenes to make her ancestor play fair. Tony is thrilled with a sample produced by Bilejik's procedure, but soon discovers it has a fatal flaw. 

Chet Stratton (uncredited) appears as the botanist."
I Dream of Jeannie,1,11,Whatever Became of Baby Custer?,Gene Nelson,"Austin Kalish, Irma Kalish",1965-11-27,"Tony's littlest fan, his eight-year-old neighbor Custer (Bill Mumy), sees some of Jeannie's magic and reports it to his parents, Major Jamison (Herb Voland) and Mrs. Wendy Jamison (Grace Albertson). They pay Tony a visit to get an explanation, but he manages to satisfy them. Fed up with their son's fabrications, the Jamisons seek psychiatric help from Dr. Bellows, who's keen to hear details of what Custer has seen. Dr. Bellows, thinking he will finally find out what Tony's game is, gets Custer to continue to spy on Tony. When Custer goes missing, Tony suspects Jeannie is responsible.

Note: The interior of Tony's neighbor's house is the interior set from Bewitched.[citation needed]"
I Dream of Jeannie,1,12,Where'd You Go-Go?,E.W. Swackhamer,"Bob Fisher, Arthur Alsberg",1965-12-04,"Jeannie gets jealous when one of Tony's ex-girlfriends, Diane (Elizabeth MacRae), comes to town and wants a date with him. When Jeannie accidentally bumps into Roger, she agrees to a date with him, hoping to get Tony's attention. Now jealousy is spreading as Tony uses his date with Diane to make sure Jeannie doesn't get into trouble with Roger. Roger, who fancies himself a lady's man, tries to put the moves on Jeannie but she blinks up defenses and runs off before he gets anywhere. 

Don Mitchell appears as a Sergeant."
I Dream of Jeannie,1,13,Russian Roulette,E.W. Swackhamer,"Bob Fisher, Arthur Alsberg",1965-12-11,"Roger takes Jeannie's bottle and, believing it to be a mere trinket, gifts it—with Jeannie inside—to visiting female Russian cosmonaut Sonya (Arlene Martel) as a token of friendship. Tony's attempts to recover the bottle fail, and soon Sonya discovers she has a genie. Tony and Jeannie come up with a plan to trick Sonya and get the bottle back. 
Paul Reed appears as General Barkley. John Beck appears as Sergeant. George DeNormand appears as Airline Pilot.

Note: The DVD/Blu-ray releases and syndication prints feature a reconstructed soundtrack with new laugh track and recreated musical score."
I Dream of Jeannie,1,14,What House Across the Street?,Theodore J. Flicker,"Bob Fisher, Arthur Alsberg",1965-12-18,"Jeannie seeks the advice of her mother (Lurene Tuttle) on how to get Tony to marry her. She advises Jeannie to get Tony jealous by accepting a marriage proposal from Roger. Wise to the situation, Tony gets Roger wondering who and where his future in-laws are, believing he'll be deterred by Jeannie's lack of a normal pair of parents. So Jeannie blinks up two rich ""parents"" (Oliver McGowan and Avis Scott) and a mansion across the street from Tony's house—on a vacant lot Dr. Bellows has just purchased. 

Jack Collins appears as General Hadley. Walter Woolf King appears as a minister."
I Dream of Jeannie,1,15,Too Many Tonys,E.W. Swackhamer,Arthur Horwitt,1965-12-25,"Upon hearing that Dr. Bellows believes married men make more stable astronauts than bachelors do, Jeannie starts making wedding preparations. When Tony tells her it's not to be, she blinks up a version of him that's romantic and attentive to her. Dr. Bellows sees Jeannie with attentive Tony, who tells the Dr. that the two are about to be married. At the wedding, Tony pretends to be the romantic doppelgänger and Jeannie calls it off. 
Note: Soon-to-be regular (Barton MacLane) makes his first appearance as General Peterson in this episode.

Guest Star: Henry Hunter as Chaplain"
I Dream of Jeannie,1,16,Get Me to Mecca on Time,E.W. Swackhamer,"James Allardice, Tom Adair",1966-01-08,"Jeannie's powers are failing because it is ""The Day of the Ram,"" on which every genie and her master must make a pilgrimage to Mecca to repeat the ""sacred words"" or the genie will lose her powers and disappear forever. Once there, they discover they must break into the First National Bank of Mecca in order to stand in the correct spot to recite the words, and are in danger of being captured by police before Tony can perform the incantation. 

Jamie Farr appears as Achmed, a pushy Mecca street guide. Foster Brooks appears as the Englishman. Alice Reinheart appears as ""American Wife."""
I Dream of Jeannie,1,17,The Richest Astronaut in the Whole Wide World,E.W. Swackhamer,Story by : William DavenportTeleplay by : Sidney Sheldon,1966-01-15,"Roger discovers Jeannie's true nature and steals her bottle. He has her blink him immense wealth and extravagant houses, cars and yachts. To undermine Roger's scheme, Tony arouses Dr. Bellows's suspicions by showing him Roger's new-found wealth, and now General Peterson (commanding officer of the base) wants Roger arrested on suspicion of selling government secrets. Tony offers to get Roger out of trouble on the condition that Roger return Jeannie to him."
I Dream of Jeannie,1,18,Is There an Extra Genie in the House?,Hal Cooper,Charles Tannen,1966-01-22,"Roger crosses Dr. Bellows by keeping his niece (Judy Carne) out too late on a date, and in retribution, Dr. Bellows prepares to send Roger away for a month. Roger begs Tony to let Jeannie find a genie for him, but Tony declines. As he prepares for his banishment, Roger discovers two stage magicians illicitly taking up residence in his apartment and concludes Jeannie and Tony have granted his wish for his own genie after all. 
Herbie Faye (uncredited) appears as ""Mr. Billings"", Bernard Fox as Arnie, Emmaline Henry as Myrt.

Note: Henry became a regular cast member the following season as Dr. Bellows's wife, Amanda Bellows."
